id	filename	md5	size	state
4cbcd812-0321-4cb9-a975-e2593ed6e1f3	41d7ab4e-4b4d-4cf0-b515-998229a3a4e1_noid_Grn.idat	dc3f0658f7c85d1cae2021038dc30594	8091452	released
a94461d7-e3ec-4b11-8d59-02d70a595420	f5318d95-34f1-4647-939a-3c9b47555c73_noid_Red.idat	65b3e247db8c965ce6a779404b4fc6a7	8095260	released
3ef0e715-63bc-44ba-938b-a28b23963de8	c9fef126-0e97-4301-ad90-e1fdedf34acb_noid_Red.idat	bfe84ad1df3fc4b1f527ebbcd7759753	8095211	released
9c3031d8-c20a-42a5-a6a8-55b7d8414198	082cb00c-6556-4385-a9eb-4be2ba499997_noid_Grn.idat	994aece9d96a5732a9fa7ffe6f197212	8095256	released
78c3802c-eaef-402b-91a0-033a04c1f048	082cb00c-6556-4385-a9eb-4be2ba499997_noid_Red.idat	4c858affa875b9be05e365bb7d5ddfd8	8095256	released
2b11f7b5-10dd-40d1-802c-8774d95b07df	78f8ceca-25bb-4549-b2c0-b0a65dda6b9c_noid_Grn.idat	341acbd37d85d9e08fe312aa49712d48	8091452	released
6074d5c6-3c5b-4418-b4bb-09059cecaca0	78f8ceca-25bb-4549-b2c0-b0a65dda6b9c_noid_Red.idat	8fe4b7efb1d5852b07bc7b97a202123f	8091452	released
f753ac84-fb1f-4d03-8b04-84897b6c0ad8	932fe3ca-ccb9-4c42-874b-cb859e9ecd6a_noid_Grn.idat	7300b60bd53eec9a775a169498fa3d04	8095244	released
a09d46c3-8e60-450a-b255-7c29838cbd61	601d6663-b4fc-498f-b8e8-18201c0dbcbf_noid_Red.idat	ee159f75c2ed5146ed56e13597102859	8095205	released
d6a75562-b430-44d4-bc97-6502ff455414	327643d8-231b-4b75-aa07-58ddd8fbbdfa_noid_Red.idat	3d3c8007160d891108361ad07160d2bc	8095212	released
143a417e-05fa-4404-9bbb-090635c7da15	327643d8-231b-4b75-aa07-58ddd8fbbdfa_noid_Grn.idat	8ac7acddc56368f76e4dbfeda6b68de2	8095212	released
327cc512-53af-457e-8018-b0e69bb8f1a1	77a4e246-7566-4a0d-8172-70d1af4d7d01_noid_Grn.idat	2c156cc46a52e84123479b623501b65b	8095204	released
471d6ef5-0af7-4487-9403-097fa2466d0c	41d7ab4e-4b4d-4cf0-b515-998229a3a4e1_noid_Red.idat	f2f316632cbe713c2c781040b9b35d4a	8091452	released
6060e2b7-d45e-4471-89ce-98e767c60937	d34349ff-17ce-43e5-be73-4cdabd1f94dd_noid_Grn.idat	7d9fd90b2a8916729f8db87ddfbc8063	8095257	released
d8238063-abfb-4282-bf3e-0b007355ec14	fde56c40-f8e0-4c30-a39f-2af5f7cdbdcb_noid_Grn.idat	d95d72d16189b3648d1af14211705d00	8095212	released
097e2524-49f4-4663-b57d-9e7cc6fffbe7	f8741a51-5bc9-41fe-ae7b-bfc7cdba2ec6_noid_Grn.idat	02794ba60ee926ca120dbd5a130a038a	8091452	released
35d07e67-8cc1-48a2-b1ed-45208e682178	47201934-582d-42c8-be1c-fc85fe692e5a_noid_Red.idat	9b87006b72e46dba2e116fd8d42748da	8095244	released
1b25707f-d129-4190-9c2c-4777bf101668	f00618d1-33a2-420b-ae07-06aee18cbba2_noid_Grn.idat	eecbdd043ea7043c55fa986681949a35	8095235	released
60cb01a2-746f-49b6-923f-3ffa48ac3572	25c90675-d7b1-4501-a9de-442213837094_noid_Grn.idat	6f4e50a320a29e42e13bb334b6c80b9e	8095255	released
631e7bfa-4040-4cd9-ae30-e719647afe27	13b06ac4-a434-48af-8281-fb4f23200cc9_noid_Grn.idat	848b5baab5ecf10f478906038c554fc7	8095253	released
f7db9908-c3bc-4f2e-a3ad-70aa11966736	5819df5d-0c3d-4821-b312-a7c3f3c42438_noid_Red.idat	7881153f8d0ebd9df7f4f85a4f634ca0	8091452	released
78c63d9c-8fd3-4729-b7a1-07affc7a8475	53ad4ef8-4c47-4715-84d2-913370a96dde_noid_Red.idat	6c7d5cd22a8a9348e36d12b1bb17a3ef	8095244	released
2a9aa2dc-ab4a-4eab-812f-0256ca779f2b	155558fa-f117-483c-b89b-0e724bf3e2f6_noid_Grn.idat	e644d7f094cdc24979f1b3aa48be9701	8095259	released
b37ef661-01b2-4a81-b672-34fc653957e8	5caaf169-34b0-4b40-8299-08850291d515_noid_Grn.idat	fd5497a128ca288b3a663ff70d96b20c	8095207	released
33c6fa06-5627-4921-ba92-1343d5e6417a	efa1b66c-7486-4553-9df0-67c10831a298_noid_Grn.idat	c030fcf1aa66c7b799a8a0194efa2361	8095206	released
544662ab-71bc-464e-95b7-b77393134f61	d8cbd220-fea3-4e55-b799-3a082a5e0ae8_noid_Red.idat	a7558ac2d65577b43939f21e8bc093d0	8095244	released
1cc13e70-f88a-4a1e-b608-75ea4c86e02a	d8cbd220-fea3-4e55-b799-3a082a5e0ae8_noid_Grn.idat	008e321726f2a6782c9349aa413e2f94	8095244	released
ba0b4a5c-2748-40d2-957b-3c11c8088915	f120c4ee-f8da-4b8a-8bf8-cb2d461494c1_noid_Grn.idat	546e50deaf7baf9f3f7f9ca4a408edc4	8095260	released
268116c8-b5f3-4b02-a26f-0575e28c44c2	f120c4ee-f8da-4b8a-8bf8-cb2d461494c1_noid_Red.idat	a711413adede3e804b03ca091b752a0c	8095260	released
806e9e96-2bb0-40f6-9b24-ad1f90cd58b1	3cdeb337-6d23-448a-9dee-a1044e4e77c5_noid_Red.idat	8c8de92db974f129f10df5e0c5e46ad1	8095260	released
6e66791a-917c-4eb7-bc26-cca3adfe456f	f5318d95-34f1-4647-939a-3c9b47555c73_noid_Grn.idat	8c1f00c75fc534a729e5c6fb2a319bdc	8095260	released
35344128-5b80-413b-93c9-c2e952c52f6f	b4ca3291-69de-4494-a4f3-6b0c23bc7538_noid_Grn.idat	e6bf2747c1f74fb8c80fcd496307fcd9	8095260	released
46d6905e-5855-487d-b0e0-a384994a16d4	2c40e503-71cc-489e-93f0-e4229f26ace1_noid_Red.idat	ea1a0053d21e82b6e4ade3fd139406f3	8095235	released
d2485c33-1ee2-4d1a-8955-0a2e0239454d	a2e1ab16-96a2-4530-82ab-fde6cd67907d_noid_Grn.idat	40853c533843958ea316bf8e90432823	8095212	released
a5db6637-4e97-4069-ac32-de2ed2f7ebed	c9fef126-0e97-4301-ad90-e1fdedf34acb_noid_Grn.idat	c35c5827eb1de328b0d6b0fdbbc8b492	8095211	released
c3fc8bbf-3721-4a48-93eb-0e42ac5e542b	77a4e246-7566-4a0d-8172-70d1af4d7d01_noid_Red.idat	2ec7ae192b4506d62f540d872259b834	8095204	released
