cancer_class,ratio_raw,ratio_in_reads
Liver,0.000244168405598261,0.0004987937725601575
Lung,0.00011653408357471352,0.00023225566703827572
Breast,0.00023115888160342017,0.0004651280366035542
CRC,0.00017317201546295687,0.00034739218291386285
