cancer_class,ratio_raw,ratio_in_reads
Liver,7.719433674274988e-05,0.0001582690947007783
Lung,8.757078638566174e-05,0.00017916687403573384
Breast,9.457159069415548e-05,0.00019177753805585523
CRC,0.00012015860936436096,0.0002436963867949051
