cancer_class,ratio_raw,ratio_in_reads
Liver,1.2858098030139381e-05,2.406159769008662e-05
Lung,2.285343407127072e-06,4.383830678923857e-06
Breast,0.0020220041629497474,0.004187344913151364
CRC,0.0011011904761904763,0.002245345934080665
