SampleID,Run_TM,TM_BAM
LODGAS2R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/43-LODGAS2R2CT491T_M535-M735.deduplicated.bam
LODCRC14R2,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/46-LODCRC14R2CT489T_M505-M705.deduplicated.bam
LODGAS1R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/42-LODGAS1R2CT491T_M534-M734.deduplicated.bam
LODGAS7R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/41-LODGAS7R1CT491T_M533-M733.deduplicated.bam
LODCRC18R2,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/36-LODCRC18R2CT489T_M543-M743.deduplicated.bam
LODCRC2PR2,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/42-LODCRC2PR2CT486T_M528-M728.deduplicated.bam
LODBREAST2R1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/8-LODBREAST2R1CT485T_M506-M706.deduplicated.bam
LODCRC17R1,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/45-LODCRC17R1CT489T_M596-M796.deduplicated.bam
LODBREAST1R1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/7-LODBREAST1R1CT485T_M505-M705.deduplicated.bam
LODBREAST2R2,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/10-LODBREAST2R2CT485T_M517-M717.deduplicated.bam
LODCRC2R1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/15-LODCRC2R1CT485T_M522-M722.deduplicated.bam
LODGAS6R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/47-LODGAS6R2CT491T_M539-M739.deduplicated.bam
LODBREAST4R2,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/12-LODBREAST4R2CT485T_M519-M719.deduplicated.bam
LODCRC18PR1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/48-LODCRC18PR1CT486T_M542-M742.deduplicated.bam
LIVER3R16,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/37-LIVER3R16CT489T_M544-M744.deduplicated.bam
LODLIV4R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/10-LODLIV4R1CT490T_M517-M717.deduplicated.bam
LODCRC3R1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/16-LODCRC3R1CT485T_M523-M723.deduplicated.bam
LODGAS3R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/37-LODGAS3R1CT491T_M529-M729.deduplicated.bam
LODCRC5PR2,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/44-LODCRC5PR2CT486T_M530-M730.deduplicated.bam
LODGAS5R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/39-LODGAS5R1CT491T_M531-M731.deduplicated.bam
LODBREAST3R2,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/11-LODBREAST3R2CT485T_M518-M718.deduplicated.bam
LODGAS6R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/40-LODGAS6R1CT491T_M532-M732.deduplicated.bam
LODLIV2R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/14-LODLIV2R2CT490T_M521-M721.deduplicated.bam
LODGAS7R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/48-LODGAS7R2CT491T_M540-M740.deduplicated.bam
LODCRC5PR1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/38-LODCRC5PR1CT486T_M524-M724.deduplicated.bam
LODCRC18P,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/47-LODCRC18PCT486T_M541-M741.deduplicated.bam
LODCRC7PR1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/40-LODCRC7PR1CT486T_M526-M726.deduplicated.bam
LODCRC14R1,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/42-LODCRC14R1CT489T_M593-M793.deduplicated.bam
LODCRC7PR2,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/46-LODCRC7PR2CT486T_M532-M732.deduplicated.bam
LODLIV5,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/5-LODLIV5CT490T_M512-M712.deduplicated.bam
LODGAS3R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/44-LODGAS3R2CT491T_M536-M736.deduplicated.bam
LODCRC16R2,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/48-LODCRC16R2CT489T_M507-M707.deduplicated.bam
LODLIV6,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/6-LODLIV6CT490T_M513-M713.deduplicated.bam
LODGAS4R2,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/45-LODGAS4R2CT491T_M537-M737.deduplicated.bam
LUNG19R1,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R5679/align/8-LUNG19R10CT758T_M508-M708.deduplicated.bam
LUNG19,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/38-LUNG19CT489T_M545-M745.deduplicated.bam
LODLIV6R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/12-LODLIV6R1CT490T_M519-M719.deduplicated.bam
LODCRC16R1,R3693,/mnt/BACKUP_NAS05/ECDTM_repo/R3693/align/44-LODCRC16R1CT489T_M595-M795.deduplicated.bam
LODLIV3R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/9-LODLIV3R1CT490T_M516-M716.deduplicated.bam
LODGAS4R1,R3694,/mnt/BACKUP_NAS05/ECDTM_repo/R3694/align/38-LODGAS4R1CT491T_M530-M730.deduplicated.bam
LODCRC1R1,R3683,/mnt/BACKUP_NAS05/ECDTM_repo/R3683/align/14-LODCRC1R1CT485T_M521-M721.deduplicated.bam
LUNG20,R3693,/mnt/GS_NAS05/ECDTM_repo/R4938/align/48-LUNG20BR4CT680T_M508-M708.deduplicated.bam
