File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
c05ed78b-2840-4857-8b4c-2020ae60c8c3	12e82e7b-f8b6-4fb8-8a05-b709ef7b6e91_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-B5-A0JN	TCGA-B5-A0JN-01A	Primary Tumor
6f2d9c4d-e949-4ff8-bd7c-35b1293fbebb	82af7dc6-0c09-4c8e-834d-fd18098e6691_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0GV	TCGA-A5-A0GV-01A	Primary Tumor
a8986f97-773a-4045-8eef-ae3d5aceff92	7694546d-baca-4e43-987c-83b5d75b4a3d_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-B5-A0K9	TCGA-B5-A0K9-01A	Primary Tumor
6c3b6957-5d04-42e2-9a01-dda15eb0e561	c51ca7c7-637f-4f17-b039-d4e998e5e458_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-A5-A0GB	TCGA-A5-A0GB-01A	Primary Tumor
9dbf9e16-3980-4fc1-9300-8750d3641284	f99bda70-45ea-497c-84aa-909baabf4a6b_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LT	TCGA-AP-A0LT-01A	Primary Tumor
49f0cfa0-b1a7-416e-b774-15c583856549	f99bda70-45ea-497c-84aa-909baabf4a6b_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AP-A0LT	TCGA-AP-A0LT-01A	Primary Tumor
24f09e04-3414-42b5-adc9-07fdfd0b762c	d7d8a89a-31c2-45e5-8565-1281560ab5b9_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BG-A0M9	TCGA-BG-A0M9-01A	Primary Tumor
804f6a19-9463-4f45-b60a-782422c74184	39287816-2630-4b05-a467-c0a7d54ce6df_noid_Grn.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BK-A0CB	TCGA-BK-A0CB-01A	Primary Tumor
a25aa033-6e65-4693-9eb1-b4e72f020b86	39287816-2630-4b05-a467-c0a7d54ce6df_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-BK-A0CB	TCGA-BK-A0CB-01A	Primary Tumor
2a89160f-43cc-461e-9c7e-43a9192b53f9	39db5ff3-90a8-4049-80f1-5885554f4ba5_noid_Red.idat	DNA Methylation	Masked Intensities	TCGA-UCEC	TCGA-AX-A064	TCGA-AX-A064-01A	Primary Tumor
