id	filename	md5	size	state
ab1ce021-50f9-4f04-a816-62d0a4757105	f2f07530-a384-4a57-b8bb-ae6ba8f25dad_noid_Grn.idat	95bec9ea32ed5f188be9486d4847408a	8091485	released
2663d9ae-623e-45be-a098-490f4a29b37b	9b48ea80-55b8-40d4-a3cd-37b43aee661c_noid_Red.idat	8cd82c776021e72491d4407c2b05cc39	8095260	released
5111ba94-882d-4192-a02c-6b89ccbd1fbf	e022cf37-0cb5-4efb-af76-696e877eb862_noid_Red.idat	d3281830c00b4f4ab32170bb239ca137	8095279	released
4cec9878-957d-4535-8b9f-21cab48befbe	860733cb-1290-47c9-9fe8-4ea9d9ecc4a0_noid_Red.idat	f0e374a1b6c6ae37090f2e7ca877e1ee	8095317	released
e4c80b50-f6b5-48ee-8bcd-82da10086d43	36ab6700-d588-4ba3-8adc-e0971d797f35_noid_Grn.idat	d8aa2256a6448ea2e8bbd578e7bc521b	8095252	released
2c9d336b-f64e-4164-8521-f9a698c665c9	601794f6-a34a-46ea-af27-e44e5d4a8064_noid_Red.idat	8cc511015c71f05fab37cc2fce1d0b29	8095250	released
aec042bc-e1f9-4b2c-a3a4-f3b59a7a42bf	2ee148f9-f142-417b-85e4-f689380e1315_noid_Red.idat	9d6569ce7951ae0f2103b20b5c5c477d	8095236	released
87bb2b09-c46e-4b7c-bf75-4ac94967d7ef	d65249d9-4d0c-4a47-aee2-6d7c59b6ef8b_noid_Grn.idat	6d666f1da65227e32c58ec93739e9fef	8095235	released
7a5eebd8-b12d-4a7c-abd3-c02e6d3683f4	520d9106-a7a0-4e7c-950b-45328eae4431_noid_Red.idat	9a9e02218042b4337fe3c11d01e2aea5	8095260	released
da244846-42b0-4e2d-8726-d43ec2add4d3	025cb903-4a31-4285-8f4d-966127e2ce71_noid_Grn.idat	2f418c5d7bcfea94ac3b15b4b1c427cc	8095301	released
f2286199-53d8-4e23-8d47-8158882c32d9	524fa18d-d6dc-407b-adc7-bd60d0afed08_noid_Red.idat	02366790515b66d3dbb38e4bf600019b	8095228	released
bca2e03e-e14e-4c03-83e7-99579f2b4403	6f05aa7f-8f44-41a2-a789-39266fbd5fb0_noid_Red.idat	9e6a35d30f16731024dd8613b1a579e3	8091485	released
24c12c93-104e-4845-a132-eec777c26660	524fa18d-d6dc-407b-adc7-bd60d0afed08_noid_Grn.idat	00457cfd6dd1190eef3511fa3bed0955	8095228	released
93a34529-83ee-4fee-b5dc-5c6374512ad7	8da6e66f-f014-4652-af13-c650c72c98ba_noid_Grn.idat	c75adf1f190c143ebb7954891b9225e9	8095236	released
27749255-aed0-4f98-b3b9-d41f48cd99ea	8da6e66f-f014-4652-af13-c650c72c98ba_noid_Red.idat	67eca6f7094c936e107913216b0ffa3b	8095236	released
c999e7df-b771-49bd-8502-5773864c4ad8	a79070cf-1d49-4131-bf1a-4e4d26580c10_noid_Grn.idat	d707d2131930808ee75df74284f1d360	8095236	released
0b396d79-ebd4-49a2-9a16-969c0840ceab	92fb57b9-4c7a-4564-bd93-3a0375c0340c_noid_Red.idat	50ef3c2731184e971ac910ed3443b4e3	8095236	released
f5d48625-cd96-4bbc-a252-09c90269372d	1c2cee2b-1c5a-4089-b2d2-01bbc640a4cc_noid_Red.idat	576ffa3227cd39b03ae76ec7e23aa5b0	8095277	released
181aa43b-f609-4c2c-83ed-0d3483d0002c	b272b0ca-9f53-4e6c-9033-f53fee8496d2_noid_Red.idat	88fd9c41f172978eece6ba95443a5637	8095317	released
e16cde5e-d8d1-413c-a990-9a1651e84bd1	f3088c37-e3a9-4a91-987b-38c0ecd4aea9_noid_Grn.idat	86e554022b7c96492408fbaea7fc8c8f	8091485	released
703f83f4-9cb2-4a8c-8909-41931830d313	b4513a50-db4c-4666-af7c-3941997c96dd_noid_Red.idat	b7644d04dac7e64ef2f0b746142d4136	8091485	released
1361b089-5a9f-45a7-bd85-f62e3af08634	7b85879d-8c51-496b-8386-f84ecc9eb4ff_noid_Grn.idat	8d10fad55c7f423e6f386ca854570382	8095229	released
cafff774-03f4-469a-87fa-461a009d62af	1610c0ca-0791-4e25-bc31-79c828dc14ff_noid_Grn.idat	3f66f7d8482d53e369fb426e7e32b463	8091452	released
