id	filename	md5	size	state
f8c920cb-272c-45ae-9c26-9e6e06c750c5	47779d4c-8de4-4278-ac2f-16df9a624777_noid_Grn.idat	15d7daefa3a307bb2e64f4618eb15a32	8095291	released
ea3eb95c-4183-457f-b911-e077466f39b0	587c6fe7-dd76-4cb8-9fad-ff3969c493d4_noid_Grn.idat	ca45d0d83a92ef320a09d58fb620197f	8095244	released
7c24b17b-fb74-4ed6-8955-6afbe33c171f	3f3c4283-8386-4489-8722-1699e4937614_noid_Grn.idat	d14d5d9fefb6f6e15bfaf7d89ab25a7a	8095244	released
c74fee9c-cbbc-46e6-8fc0-b91178f78e23	478878e3-78e2-4584-af86-edf4a87b0d64_noid_Red.idat	4d9363d4a8a2b0a95f93dfcf2d387b61	8095260	released
410650d7-7cc0-4f28-b72c-da35ee32f1fe	478878e3-78e2-4584-af86-edf4a87b0d64_noid_Grn.idat	7f11216fa2770d220f6bcda4b5337f5b	8095260	released
fc8bdd0b-7db1-429f-8e54-d98f6b5a54c4	deba8d6c-3942-4d4f-a5d7-f73fcd94e785_noid_Red.idat	2b66df5e6913f43e1646a601705698f7	8095284	released
676faba7-da54-4feb-8d37-7bfc7cd9e861	7d3dc1d5-35e5-4c39-9ebe-e16ceb389cb8_noid_Grn.idat	ee9547d55f754fdf972d7637d2a04609	8095292	released
d6749fde-50ad-4000-a5bb-06d5ed29cdfc	7d3dc1d5-35e5-4c39-9ebe-e16ceb389cb8_noid_Red.idat	04d6b2b803a96ba6d61e5a87fb5d716d	8095292	released
86e57a40-9e13-46ae-89a4-83990c421ca1	25b18021-e749-4374-b033-8463dd9bff73_noid_Red.idat	7b61bb5b675588038fea9bcbdcf77660	8095268	released
d5d8a3d8-9623-4431-a43b-6e13b9b926fc	c7378d4e-fed0-439c-a8c7-de6fb9c4eaac_noid_Grn.idat	76529659e6c0bda739e6e4f10f83020e	8095268	released
274078de-98ca-4b07-ba83-b197cae923c3	500f2b50-ef8c-4d53-a935-a572ed74f43f_noid_Red.idat	5171bfb6f00f78f96e4efab46a3fadf9	8095253	released
9eaa2846-818f-4216-b8e6-63f6a3815884	9e93993b-ad03-4aba-bc95-349e68e57398_noid_Grn.idat	0385fec71c6f1c0a4973dff3d712b771	8095283	released
befdbb3a-1a05-417c-b9df-c81851a7f8f5	f7e5f0c3-738d-472d-a837-65ab2a678430_noid_Grn.idat	9b024abd238fbf90b093b92e28e62569	8095291	released
0e6bb2b3-0d72-405c-ad55-e13e8b8f2827	e8efa1d9-4e8a-4e26-b650-15d34f0d8fa0_noid_Red.idat	534bcec5fa4720927b06327a617370a7	8095284	released
916cbfdc-c53b-4b37-9e5f-221c5f658b1c	47779d4c-8de4-4278-ac2f-16df9a624777_noid_Red.idat	77b90a32318c525f9cc1ffdd17a88558	8095291	released
44382605-718e-4a8e-ae1b-7727d4b610cc	f3d1a993-7cc2-4b20-a73a-7171c69d200e_noid_Red.idat	88894db26c981048d38aa71af18e51dd	8095252	released
ea2d9650-4722-493b-8417-c6f17275f4b0	3f3c4283-8386-4489-8722-1699e4937614_noid_Red.idat	3b93db575c4c7ef59069f4eddf1d5358	8095244	released
35a0e342-1c02-4d17-961f-a639a96a6503	815825ea-5a92-48ab-a753-bedbe677182a_noid_Red.idat	76db9079f629d321d8edd980f1600f11	8095252	released
f1c389d8-1f12-4eed-aff3-2f20996a6f55	815825ea-5a92-48ab-a753-bedbe677182a_noid_Grn.idat	9d1927f06a74b1e5d7ba1b90f889c254	8095252	released
77169e00-fdb8-4ad7-a749-da82d201a447	3f396ff8-5ae0-4e94-b270-427be3bbf797_noid_Grn.idat	5d21e22cd3c5f1f50a9a414d004a0156	8095244	released
59b5baf4-c189-4503-8d6e-f6739c6aa0e8	3f396ff8-5ae0-4e94-b270-427be3bbf797_noid_Red.idat	2c8bb28428157f666215a6271dfcf241	8095244	released
1d1f57b7-2569-4265-bd87-3f770553bfe7	f3d1a993-7cc2-4b20-a73a-7171c69d200e_noid_Grn.idat	f1d7c8eab16d49411600aff9fa7eb9f5	8095252	released
f6c41f68-d409-41d8-aeb2-0892a0bf42b4	c9c2bc6f-b1f4-4efa-8f47-7f87cb570707_noid_Grn.idat	667d609c1054c666f813b9b29584fa35	8095286	released
c579aae7-a80f-47d9-9678-db0ef15fb4c4	15b52eec-12a4-4381-bb85-617561283854_noid_Red.idat	85dba2234c0541be01faea80f2110bb4	8095288	released
