File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
cf643ad4-718a-45ae-a9d5-49f6a5dab05e	19d0c5e3-98a0-4319-befd-0d20b3e5c93a.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-WT-AB44	TCGA-WT-AB44-01A	Primary Tumor
53e943f1-d140-4593-a873-a77cb3c88973	bf012165-bb5a-44c8-ac1d-9d197a3cb17e.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-BH-A0B9	TCGA-BH-A0B9-01A	Primary Tumor
da974d54-d118-476c-93c2-acc7f7a6dec9	7f788b78-afdf-4090-97bd-41425e300e63.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E9-A1RC	TCGA-E9-A1RC-01A	Primary Tumor
c168545a-3da5-4631-9c38-75a13a93718d	82a4d2a2-c030-462d-81af-ced5d6f1a155.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A2-A0EN	TCGA-A2-A0EN-01A	Primary Tumor
d5d0f08c-c15e-42a0-8c9f-bb4aa32c9ce5	2383ee6f-1f00-4fa1-b2e1-85bd42d831bd.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A1L9	TCGA-E2-A1L9-01A	Primary Tumor
35f88b7c-686a-4c8a-a804-770d00027265	6a600552-1b31-4f82-a51d-d6217f5f10c0.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-A8-A08O	TCGA-A8-A08O-01A	Primary Tumor
ac1ec43d-fe26-40de-b06a-fe6e1b76ee56	379b4ce4-e7ef-4b8b-81cb-090532aee580.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A56Z	TCGA-E2-A56Z-01A	Primary Tumor
77237986-473a-4c40-bdae-33b0b44d00e0	2a4c717b-3900-4e70-8693-e43ce141b7ca.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1JT	TCGA-D8-A1JT-01A	Primary Tumor
8770c90d-04d4-473a-bb74-ef7eae13f2be	3a638c6d-2806-419f-95ad-a0d325ac0522.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-D8-A1X7	TCGA-D8-A1X7-01A	Primary Tumor
257f44c6-35bb-4ca7-8226-4d8e86693b0c	2cc24ee1-1658-48d8-8675-7974003352a8.methylation_array.sesame.level3betas.txt	DNA Methylation	Methylation Beta Value	TCGA-BRCA	TCGA-E2-A570	TCGA-E2-A570-01A	Primary Tumor
